Table name M3;Table name User;Column name M3;Column name M3
MMOOPE;Work Order Operation;QOASPU;Sales price
MMOOPE;Work Order Operation;QONEPU;Net price
MMOOPE;Work Order Operation;QOSAPU;Sales price
MMOOPE;Work Order Operation;QOCONO;Company
MMOOPE;Work Order Operation;QOFACI;Facility
MMOOPE;Work Order Operation;QOPRNO;Product
MMOOPE;Work Order Operation;QOMWNO;Work order number
MMOOPE;Work Order Operation;QOOPNO;Operation number
MMOOPE;Work Order Operation;QOMSEQ;Sequence number
MMOOPE;Work Order Operation;QOPRIO;Priority
MMOOPE;Work Order Operation;QOWOST;Status
MMOOPE;Work Order Operation;QOWOSQ;Reporting number
MMOOPE;Work Order Operation;QOPLGR;Work center
MMOOPE;Work Order Operation;QOOPDS;Operation description
MMOOPE;Work Order Operation;QOTXT1;Text line 1
MMOOPE;Work Order Operation;QOTXT2;Text line 2
MMOOPE;Work Order Operation;QODEPT;Department
MMOOPE;Work Order Operation;QOREAR;Planning area
MMOOPE;Work Order Operation;QODOID;Document identity
MMOOPE;Work Order Operation;QOSTDT;Start date
MMOOPE;Work Order Operation;QOMSTI;Start time
MMOOPE;Work Order Operation;QOFIDT;Finish date
MMOOPE;Work Order Operation;QOMFTI;Finish time
MMOOPE;Work Order Operation;QODAFA;Day factor
MMOOPE;Work Order Operation;QORSDT;Actual start date
MMOOPE;Work Order Operation;QORSTI;Actual start time
MMOOPE;Work Order Operation;QOREFD;Actual finish date
MMOOPE;Work Order Operation;QORFTI;Actual finish time
MMOOPE;Work Order Operation;QORPDT;Reporting date
MMOOPE;Work Order Operation;QORTM1;Reporting time
MMOOPE;Work Order Operation;QOREND;Manual completion flag
MMOOPE;Work Order Operation;QOORQT;Ordered quantity - basic U/M
MMOOPE;Work Order Operation;QOORQA;Ordered quantity - alternate U/M
MMOOPE;Work Order Operation;QOMAQT;Manufactured quantity
MMOOPE;Work Order Operation;QOMAQA;Manufactured quantity
MMOOPE;Work Order Operation;QORPRE;Responsible for reporting
MMOOPE;Work Order Operation;QOSCQT;Scrapped quantity
MMOOPE;Work Order Operation;QOSCQA;Scrapped quantity
MMOOPE;Work Order Operation;QOSCRE;Rejection reason
MMOOPE;Work Order Operation;QORWQT;Rework quantity
MMOOPE;Work Order Operation;QORWQA;Rework quantity - alternate unit
MMOOPE;Work Order Operation;QOCOFA;Conversion factor
MMOOPE;Work Order Operation;QODMCF;Conversion form
MMOOPE;Work Order Operation;QOLASK;Labor skill
MMOOPE;Work Order Operation;QOFXTI;Fixed time
MMOOPE;Work Order Operation;QOSETI;Setup time
MMOOPE;Work Order Operation;QOOSET;External setup time
MMOOPE;Work Order Operation;QOPITI;Run time
MMOOPE;Work Order Operation;QOCTCD;Price and time quantity
MMOOPE;Work Order Operation;QOUSET;Used machine setup time
MMOOPE;Work Order Operation;QOUPIT;Used machine run time
MMOOPE;Work Order Operation;QOUMAT;Used labor run time
MMOOPE;Work Order Operation;QOUMAS;Used labor setup time
MMOOPE;Work Order Operation;QOSENP;Planned number of workers - setup
MMOOPE;Work Order Operation;QOPRNP;Planned number of workers - run time
MMOOPE;Work Order Operation;QOPRNM;Planned number of machines
MMOOPE;Work Order Operation;QOSEPR;Setup price
MMOOPE;Work Order Operation;QOPIPR;Unit price
MMOOPE;Work Order Operation;QOWAFA;Time rate
MMOOPE;Work Order Operation;QOWCRF;Time reference
MMOOPE;Work Order Operation;QOKIWG;Pay element
MMOOPE;Work Order Operation;QOSCPC;Scrap percentage
MMOOPE;Work Order Operation;QOASPC;Cumulative scrap percentage
MMOOPE;Work Order Operation;QOINWE;Initial weight
MMOOPE;Work Order Operation;QOOPV3;Operation volume
MMOOPE;Work Order Operation;QOMFPR;Multiplication factor - manufacturing
MMOOPE;Work Order Operation;QOOPCM;Operation cost multiplier
MMOOPE;Work Order Operation;QOTOOL;Tool number
MMOOPE;Work Order Operation;QOCAMP;Number of labor tickets
MMOOPE;Work Order Operation;QOWODP;Order documents printed
MMOOPE;Work Order Operation;QOQUDY;Queue days
MMOOPE;Work Order Operation;QOSLAC;Transport value in days
MMOOPE;Work Order Operation;QOODBF;Lead time offset
MMOOPE;Work Order Operation;QOPRDY;Production days
MMOOPE;Work Order Operation;QOSWQT;Setup scrap
MMOOPE;Work Order Operation;QOASWQ;Cumulative setup scrap
MMOOPE;Work Order Operation;QOSUNO;Supplier
MMOOPE;Work Order Operation;QOPSSQ;Co-sorting key
MMOOPE;Work Order Operation;QOSCHN;Schedule number
